Card_ID,Transaction_ID,Reference_no,Target_Account,Target_Name,Credit_Type,Amount,Timestamp,Points_earned,
1,1,1237688661,1357934974,Central India,Debit,9903,4/21/19 4:25 AM,264,
1,10,1237688670,1357935005,HP Petrolium,Debit,1500,5/8/19 3:31 AM,40,
1,11,1237688671,1357935007,IDEA Payment,Debit,420,4/18/19 11:38 PM,11,
1,2,1237688662,1357935014,MSEB India,Debit,1200,5/7/19 5:55 AM,32,
1,6,1237688666,1357935017,NEFT Payment,Credit,24500,4/15/19 4:10 AM,653,
1,8,1237688668,1357935018,OLA cabs,Debit,310,5/8/19 8:08 AM,8,
1,4,1237688664,1357935027,Shell Petrol,Debit,1000,4/12/19 8:23 AM,26,
1,3,1237688663,1357935028,Shoppers Stop,Debit,13000,4/12/19 5:36 PM,346,
1,9,1237688669,1357935034,TATA SKY,Debit,650,4/22/19 7:05 AM,17,
1,5,1237688665,1357935036,Uber,Debit,120,5/1/19 10:26 PM,3,
1,7,1237688667,1357935036,Uber,Debit,230,4/12/19 3:04 PM,6,
1,12,1237688672,1357935036,Uber,Debit,450,4/20/19 7:56 AM,12,
2,16,1237688676,1357934980,Airtel Payment,Debit,540,5/7/19 6:03 AM,10,
2,17,1237688677,1357934981,Amazon,Debit,3200,4/22/19 4:16 AM,64,
2,18,1237688678,1357934992,Digital Age Retail,Debit,4500,5/10/19 8:27 AM,90,
2,13,1237688673,1357935005,HP Petrolium,Debit,300,4/19/19 6:19 AM,6,
2,25,1237688685,1357935007,IDEA Payment,Debit,450,4/17/19 7:37 PM,9,
2,15,1237688675,1357935018,OLA Cabs,Debit,450,4/25/19 9:41 PM,9,
2,14,1237688674,1357935020,PAYTM Retail,Debit,1200,4/24/19 4:04 PM,24,
2,24,1237688684,1357935020,PAYTM Retail,Debit,3200,4/16/19 8:39 AM,64,
2,20,1237688680,1357935023,PMC,Debit,12001,4/25/19 7:01 AM,240,
2,23,1237688683,1357935027,Shell Petrol,Debit,1200,4/24/19 12:15 PM,24,
2,26,1237688686,1357935027,Shell Petrol,Debit,2000,5/6/19 1:03 AM,40,
2,21,1237688681,1357935031,SRL Ltd,Debit,3200,5/2/19 11:11 PM,64,
2,22,1237688682,1357935034,TATA SKY,Debit,750,4/14/19 8:34 AM,15,
2,19,1237688679,1357935035,Times Internet Ltd,Debit,4300,4/12/19 10:19 PM,86,
3,31,1237688691,1357934974,Central India,Debit,12000,4/12/19 6:13 AM,320,
3,32,1237688692,1357934993,Dmart India,Debit,5040,5/8/19 4:23 PM,134,
3,38,1237688698,1357934999,FreeCharge India,Debit,340,5/3/19 1:13 PM,9,
3,33,1237688693,1357935005,HP Petrolium,Debit,220,4/18/19 8:36 PM,5,
3,29,1237688689,1357935014,MSEB India,Debit,1400,4/30/19 1:48 AM,37,
3,39,1237688699,1357935017,NEFT Payment,Credit,45050,5/4/19 2:01 PM,1201,
3,27,1237688687,1357935018,OLA Cabs,Debit,450,4/27/19 1:52 PM,12,
3,36,1237688696,1357935018,OLA cabs,Debit,520,4/26/19 7:35 AM,13,
3,34,1237688694,1357935024,PNG Jewellers,Debit,31000,4/29/19 8:07 PM,826,
3,37,1237688697,1357935027,Shell Petrol,Debit,1200,4/29/19 3:45 PM,32,
3,43,1237688703,1357935027,Shell Petrol,Debit,2200,4/26/19 6:51 AM,58,
3,42,1237688702,1357935028,Shoppers Stop,Debit,8050,4/16/19 3:54 PM,214,
3,28,1237688688,1357935034,TATA SKY,Debit,680,5/7/19 2:46 PM,18,
3,30,1237688690,1357935036,Uber,Debit,420,4/25/19 2:44 PM,11,
3,35,1237688695,1357935036,Uber,Debit,320,5/7/19 7:09 AM,8,
3,40,1237688700,1357935036,Uber,Debit,390,4/12/19 6:13 PM,10,
3,41,1237688701,1357935036,Uber,Debit,280,5/8/19 5:44 AM,7,
4,45,1237688705,1357934982,Amazon Pay,Debit,3000,4/26/19 5:54 AM,80,
4,50,1237688710,1357934988,Bigtree Entertainment,Debit,1990,5/7/19 1:40 PM,53,
4,47,1237688707,1357934993,DMart India,Debit,8900,4/20/19 4:19 PM,237,
4,51,1237688711,1357934995,FirstCry,Debit,2390,4/28/19 5:30 AM,63,
4,46,1237688706,1357935009,KFC Restaurant,Debit,800,4/14/19 8:31 PM,21,
4,48,1237688708,1357935014,MSEB India,Debit,3200,4/24/19 1:13 PM,85,
4,52,1237688712,1357935017,NEFT Payment,Credit,78000,4/16/19 2:17 PM,2080,
4,53,1237688713,1357935018,OLA cabs,Debit,310,4/12/19 11:34 AM,8,
4,49,1237688709,1357935027,Shell Petrol,Debit,2300,5/1/19 12:49 PM,61,
4,44,1237688704,1357935038,Wellness Medico,Debit,1350,5/8/19 3:11 AM,36,
5,66,1237688726,1357934980,Airtel Payment,Debit,540,4/18/19 8:37 PM,14,
5,68,1237688728,1357934984,AMAZON.IN,Debit,3400,4/18/19 10:48 AM,90,
5,60,1237688720,1357934993,DMart India,Debit,12100,5/5/19 2:43 PM,322,
5,64,1237688724,1357934997,Flipkart India,Debit,1950,4/24/19 5:53 PM,52,
5,63,1237688723,1357935005,HP Petrolium,Debit,1300,4/21/19 2:50 AM,34,
5,69,1237688729,1357935005,HP Petrolium,Debit,2100,5/9/19 7:42 PM,56,
5,59,1237688719,1357935008,Kalyan Jewellers,Debit,56000,5/8/19 11:57 AM,1493,
5,62,1237688722,1357935012,McDonalds Restaurant,Debit,760,5/10/19 10:16 AM,20,
5,57,1237688717,1357935014,MSEB India,Debit,3200,5/10/19 9:07 AM,85,
5,58,1237688718,1357935017,NEFT Payment,Credit,18090,4/10/19 11:25 PM,482,
5,61,1237688721,1357935018,OLA Cabs,Debit,420,5/8/19 11:02 PM,11,
5,67,1237688727,1357935018,OLA Cabs,Debit,340,4/11/19 9:13 AM,9,
5,65,1237688725,1357935021,PHONEPE recharge,Debit,650,5/5/19 6:28 PM,17,
5,55,1237688715,1357935034,TATA SKY,Debit,750,5/10/19 4:32 PM,20,
5,56,1237688716,1357935036,Uber,Debit,198,5/3/19 6:00 PM,5,
5,54,1237688714,1357935038,Wellness Medico,Debit,2105,5/6/19 2:02 AM,56,
6,73,1237688733,1357934986,BBQ Restaurant,Debit,3210,4/10/19 1:48 PM,64,
6,76,1237688736,1357934974,Central India,Debit,8320,4/21/19 4:08 PM,166,
6,79,1237688739,1357934992,Digital Age Retail,Debit,3400,4/24/19 12:24 AM,68,
6,72,1237688732,1357934996,FirstCry India,Debit,430,4/21/19 7:40 PM,8,
6,77,1237688737,1357934999,FreeCharge India,Debit,870,5/9/19 6:41 PM,17,
6,78,1237688738,1357935014,MSEB India,Debit,2100,5/3/19 5:07 AM,42,
6,74,1237688734,1357935017,NEFT Payment,Credit,54500,5/3/19 12:35 PM,1090,
6,75,1237688735,1357935018,OLA Cabs,Debit,430,4/22/19 10:29 PM,8,
6,70,1237688730,1357935034,TATA SKY,Debit,690,4/25/19 3:47 PM,13,
6,71,1237688731,1357935038,Wellness Medico,Debit,1950,4/27/19 3:32 AM,39,
7,81,1237688741,1357934979,Airtel DTH India,Debit,820,4/21/19 4:36 AM,16,
7,82,1237688742,1357934984,AMAZON.IN,Debit,1200,4/28/19 12:21 PM,24,
