Customer_ID,Name,Address,City,State,County,Age,Birthdate,Employer,annual_income,Gender,email,mobile,pancard,aadhaar_card,Profession,marital_status,Children,employed_yrs
1,Timila Jain,MG Road,Pune,Maharashtra,India,42,08/06/76,IBM,2013122,Female,Camila_Truscott1948@joiniaa.com,9430386369,SHOFL3661A,673-362-010,Software Architect,TRUE,2,20
2,Vajra Singh,Beaumont  Route,Surat,Gujrat,India,19,01/01/00,,0,Male,Denny_Kelly5280@nimogy.biz,9816457997,FIZCM2883S,057-135-546,,FALSE,0,0
3,Sunirmal Kumar,Bendmore  Boulevard,Panji,Goa,India,77,10/30/41,Amazon.com,6499014,Male,Benny_Radcliffe8582@mafthy.com,9761111066,CIPTB8836O,540-251-173,Managing Director,TRUE,2,55
4,Suryashankar Kumar,Falconberg   Crossroad,Jodhpur,Rajasthan,India,40,10/07/78,Thermax,7971913,Male,Kieth_Rogers5293@infotech44.tech,9769721090,JEWJA5501S,466-301-074,Director,TRUE,0,18
5,Sevati Patel,Aylward   Hill,Delhi,Delhi,India,31,01/06/48,TCS,7229907,Female,Raquel_Garcia3470@elnee.tech,9550527839,EYYEB5097Q,315-234-780,Managing Director,FALSE,0,49
6,Samidha Ismail,Bellenden   Boulevard,Chennai,Tamilnadu,India,44,9/25/74,Cognizant,8875366,Female,Lindsay_Wilkinson9262@yahoo.com,9624710073,KSKQY1163Z,647-088-232,Managing Director,FALSE,0,22
7,Manadha Kumar,Angela   Crossroad,Bengaluru,Karnataka,India,29,8/15/89,BMW,1188017,Female,Ciara_Shaw7055@acrit.org,9583352994,ILWLQ1280X,230-207-012,Manager,TRUE,0,7
8,Mohitha Raj,Belgrave  Way,Hyderabad,Telangana,India,24,2/25/55,Central,840000,Female,Emerald_Tailor837@yahoo.com,9470795416,JQEIR6843W,060-122-375,Salesman,FALSE,0,2
9,Gajanand Singh,Clarges   Grove,Lakhnau,Uttar Pradesh,India,52,1/28/57,Government of India,11037977,Male,Chad_Vane8452@yahoo.com,9342413293,MORDI6125G,421-651-616,Officer,TRUE,0,30
10,Hemanga Khan,Angel  Pass,Shimla,Himachal Pradesh,India,22,3/16/97,Maruti,1000785,Male,Nicholas_Walsh9805@corti.com,9451529417,BPXYJ6340B,232-347-160,Engineer,TRUE,1,0
11,Veena Ismail,Cleaver Pass,Indore,Madhya Pradesh,India,23,10/12/95,Infosys,13097868,Female,Stella_Windsor3291@nanoff.biz,9531234654,NNPKB9227U,513-882-702,Software Engineer,TRUE,2,1
12,Shubhendu Kumar,Camdale  Crossroad,Bhuvneshwar,Orisa,India,47,08/02/51,Ola,10929757,Male,Bart_Simpson9500@gompie.com,9819162566,HOZTU2296J,370-884-723,Driver,TRUE,1,45
13,Harimanti Raj,Cardinal Lane,Kochi,Kerala,India,32,06/09/86,Uber,15439202,Female,Kendra_Jefferson5983@nanoff.biz,9788030031,SOZPG5278I,386-487-444,Architect,FALSE,0,10
14,Harihar Kumar,Colombo   Walk,Kolkata,West Bengal,India,51,8/21/57,Big Bazar,13139242,Male,Chester_Dubois753@brety.org,9738191384,MVQUV9349V,264-021-323,Consultant,TRUE,0,29
15,Devang Singh,Jackson Street,Silchar,Aasam,India,44,11/18/74,IBM,19636819,Male,Martin_Norton5051@joiniaa.com,9471402531,XCOYC4748W,560-175-577,Vice President,FALSE,0,22
16,Soma Raj,Fawn Drive,Mumbai,Maharashtra,India,53,7/26/55,Capgemini,6582227,Female,Bridget_Varley5521@hourpy.biz,9504376446,MNEKS4978N,726-858-612,Consultant,TRUE,0,31
17,Unmesh Raj,Sheringham   Route,Patna,Bihar,India,51,11/26/67,HCL,8379364,Male,Denis_Simmons2032@ovock.tech,9779020107,VNWGM6852H,387-824-845,Associate Vice President,TRUE,0,29
18,Barindra Patel,Thorndike   Avenue,Ranchi,Jharkhand,India,45,11/02/73,Wipro,12057717,Male,Nick_Norris3153@vetan.org,9334809438,UYTWV9017F,632-061-438,Associate Director,TRUE,0,23
19,Nandita Jain,Linden Avenue,Dehradun,Uttaranchal,India,54,7/22/64,Vipul Tools,4612581,Female,Agnes_Ryan9237@zorer.org,9785272721,OOUVF6859R,348-820-567,General Manager,TRUE,0,32
20,Kundanlal Kumar,Virgil   Road,Nagpur,Maharashtra,India,72,05/01/47,Reliance,3067570,Male,Ron_Lunt5711@cispeto.com,9809207658,EZIKN9503E,286-256-732,Group Head,TRUE,1,50
21,Gyandev Kumar,Monroe Street,Calicat,Kerala,India,52,12/05/56,Cipla,8381222,Male,Leroy_Rixon1553@tonsy.org,9355073450,FWGQM9430N,624-814-244,Director,TRUE,0,30
22,Anjushri Khan,Clarks  Street,Mumbai,Maharashtra,India,46,1/14/73,Facebook,2512684,Female,Margot_Kirby3328@cispeto.com,9538967623,WJZCH9332X,253-005-662,Director,TRUE,2,24
23,Vajrapani Jain,Bolton  Avenue,Gandhinagar,Gujrat,India,29,09/09/89,Google,594551,Male,Denis_Mooney2011@eirey.tech,9412974708,VKCBB1818W,406-440-025,Sales Manager,FALSE,0,7
24,Kareem Patel,Rivervalley Avenue,Bareli,Uttar Pradesh,India,24,1/26/95,UBS,420000,Male,Martin_Gibson4107@brety.org,9837208691,OGXYG4048W,183-505-775,Software Engineer,FALSE,0,2
25,Devamayi Khan,Union  Hill,Jabalpur,Chattisgardh,India,50,1/24/69,Citibank,4618721,Female,Davina_Hancock3291@mafthy.com,9533384206,UTXUS4381H,458-241-565,Associate Vice President,TRUE,1,28
26,Sainath Khan,Sherlock   Grove,Gangtok,Sikkim,India,21,10/24/97,,0,Male,Manuel_Addis5974@twace.org,9603443030,DOTVK3303N,763-103-075,,FALSE,0,0
27,Avkash Khan,Timber   Road,Kolkata,West Bengal,India,27,12/31/47,DBS,16096061,Male,Chuck_Welsch6583@liret.org,9639323732,IUQZS1481R,650-713-718,Associate Consultant,TRUE,2,35
28,Madhusudan Singh,Byland  Rue,Delhi,Delhi,India,43,12/01/75,Hundai,2109109,Male,Leroy_Hill7283@irrepsy.com,9644708241,XWDVS9510Y,487-386-813,Managing Director,TRUE,0,21
29,Himagouri Patel,Rail Alley,Chandigardh,Panjab,India,59,9/13/57,Honda,11411397,Female,Jaylene_Hamilton8236@fuliss.net,9457899615,MQHDB1952U,011-228-417,Director,TRUE,2,37
30,Mudra Ismail,Clerkenwell Avenue,Amritsar,Panjab,India,77,8/26/41,Hero Motocorp,16961544,Female,Samara_Mason1775@infotech44.tech,9871084324,PZTCP3466R,186-041-317,Group Head,TRUE,2,55
31,Antara Singh,Cockspur  Route,Pune,Maharashtra,India,36,06/07/82,Xerox India,7033363,Female,Erica_Palmer1887@sheye.org,9859397620,ZNGNN7696L,066-804-747,Consultant,FALSE,2,14
32,Rajanya Raj,Fieldstone Pass,Udaipur,Rajasthan,India,27,5/22/91,Amdocs India,9619590,Male,Daron_Carson4544@brety.org,9608998152,NICTZ2418D,663-537-861,Software Engineer,FALSE,0,5
33,Chitral Patel,Cam  Lane,Indore,Madhya Pradesh,India,51,05/06/67,Barclays,16689275,Male,Roger_Hopkinson7501@ovock.tech,9432717090,KBIVM2834S,400-011-724,Associate Vice President,TRUE,2,29
34,Prasata Singh,Queensberry  Road,Bengaluru,Karnataka,India,51,06/01/67,Indian Oil,9198125,Male,Clint_Knott2998@kideod.biz,9849714400,BJMKQ1262X,025-140-127,Director,TRUE,1,29
35,Vilas Kumar,Wakley   Road,Hyderabad,Telangana,India,23,8/31/99,,230000,Male,Ramon_Kaur210@acrit.org,9835854237,GHUFG2053U,018-238-824,,FALSE,0,1
36,Tarannum Patel,Parkfields Street,Chennai,Tamilnadu,India,25,10/11/43,NTPC,2825873,Female,Catherine_Walsh592@eirey.tech,9585564814,WESVU7710G,630-007-646,Engineer,FALSE,0,53
37,Yaduvir Kumar,Chamberlain  Tunnel,Delhi,Delhi,India,21,5/25/97,,0,Male,Ryan_Collins7897@mafthy.com,9483043651,TYNRS5658A,264-640-457,,FALSE,0,0
38,Padmanabha Singh,Ellerman   Road,Mumbai,Maharashtra,India,78,12/07/40,Sun Pharma Indistries,10768934,Male,George_Collins9169@bretoux.com,9660137241,EZCBE7739M,107-711-000,Director,TRUE,2,56
39,Sumanolata Ismail,Spruce Tunnel,Surat,Gujrat,India,33,9/25/85,Facebook,14526233,Female,Darlene_Owen6843@atink.com,9825200113,TZPIS7118P,417-603-120,Solution Architect,TRUE,0,11
40,Naishadh Kumar,Timothy  Hill,Mumbai,Maharashtra,India,77,2/24/42,JSW Steel,12693497,Male,Harvey_Shaw9376@nickia.com,9860916062,WEFSD9693G,157-511-453,Group Head,TRUE,2,55
41,Shrivalli Khan,Antrobus   Alley,Bengaluru,Karnataka,India,31,04/01/48,Bajaj Auto,5048092,Female,Ally_Stubbs5914@cispeto.com,9875635191,JXBCR9920N,178-110-523,Engineer,TRUE,2,49
42,Pralay Raj,Hammersmith  Alley,Pune,Maharashtra,India,23,4/25/46,Asian Paints,18977232,Male,Carter_Simpson7974@joiniaa.com,9391640771,WHRKW5424I,807-152-767,Engineer,TRUE,1,51
43,Dakshata Ismail,Eaglet  Pass,Pune,Maharashtra,India,34,10/09/84,Ashok Leyland,2808000,Female,Emma_Hardwick3578@corti.com,9869948754,FHBDB7324H,135-077-858,Architect,TRUE,1,12
44,Shaktidhar Jain,Littlebury  Street,Pune,Maharashtra,India,34,02/11/85,Crisil,12211748,Male,Tony_Cavanagh3592@ubusive.com,9628364523,AQBFM2994J,088-257-415,Architect,FALSE,0,12
45,Praval Kumar,Canning  Hill,Mumbai,Maharashtra,India,26,4/28/53,LIC India,18082259,Male,Nathan_Darcy6575@twipet.com,9830605558,ACYOG5490C,511-438-517,Associate Consultant,FALSE,0,44
46,Sajili Ismail,Queensberry  Grove,Mumbai,Maharashtra,India,43,11/09/75,IBM India,16198569,Female,Nicole_Townend7039@nimogy.biz,9358073104,VUWFI5402F,260-871-051,Manager,TRUE,2,21
47,Ekavali Patel,Hickory   Road,Mumbai,Maharashtra,India,24,9/22/94,Symphony,17008736,Female,Aileen_Dickson1570@gmail.com,9767502581,BOQQO5173X,240-837-316,Engineer,FALSE,0,2
48,Madhuk Kumar,Garfield Hill,Mumbai,Maharashtra,India,66,7/28/52,Thermax,9500076,Male,Ramon_Roman8396@dionrab.com,9675887693,UTFLU1599I,317-618-004,Director,TRUE,1,44
